,state,response,coverage,education,employmentstatus,gender,location_code,marital_status,policy_type,renew_offer_type,sales_channel,vehicle_class,vehicle_size,Month,Day,Week
4858,Arizona,Yes,Basic,College,Other,M,Suburban,Married,Personal Auto,Offer1,Agent,Four-Door Car,Medsize,1,23,3
4859,Oregon,No,Basic,High School or Below,Employed,M,Suburban,Married,Corporate Auto,Offer1,Agent,Four-Door Car,Medsize,2,8,6
4860,Other,No,Basic,College,Employed,M,Rural,Married,Personal Auto,Offer2,Agent,Two-Door Car,Medsize,2,27,8
4861,Oregon,No,Basic,Bachelor,Employed,F,Urban,Married,Personal Auto,Offer2,Call Center,Four-Door Car,Small,1,10,2
4862,Other,No,Premium,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,Offer1,Web,Four-Door Car,Large,2,18,7
4863,Oregon,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Offer1,Agent,Luxury Car,Medsize,2,14,7
4864,Oregon,No,Basic,College,Employed,F,Urban,Divorced,Personal Auto,Offer1,Call Center,Four-Door Car,Medsize,1,8,1
4865,Arizona,No,Basic,Bachelor,Employed,F,Urban,Married,Personal Auto,Offer2,Branch,SUV,Medsize,1,18,3
4866,California,No,Basic,Bachelor,Employed,M,Suburban,Married,Corporate Auto,Offer2,Agent,Four-Door Car,Medsize,1,1,52
4867,Oregon,No,Basic,College,Employed,F,Rural,Married,Personal Auto,Offer2,Branch,Four-Door Car,Medsize,2,20,7
4868,Arizona,No,Premium,Bachelor,Employed,M,Rural,Married,Personal Auto,Offer3,Branch,Four-Door Car,Large,1,4,1
4869,Oregon,No,Premium,High School or Below,Employed,F,Suburban,Married,Personal Auto,Offer2,Branch,Two-Door Car,Small,1,25,4
4870,California,No,Extended,Bachelor,Employed,F,Suburban,Single,Personal Auto,Offer2,Call Center,Two-Door Car,Medsize,1,18,3
4871,Oregon,No,Basic,Master/Doctor,Employed,M,Rural,Single,Corporate Auto,Offer1,Call Center,SUV,Medsize,2,25,8
4872,Oregon,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Offer1,Agent,Four-Door Car,Medsize,1,24,4
4873,California,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Offer1,Call Center,Four-Door Car,Large,1,14,2
4874,Oregon,No,Basic,High School or Below,Employed,F,Urban,Married,Personal Auto,Offer1,Agent,Two-Door Car,Medsize,1,16,2
4875,California,No,Basic,College,Unemployed,F,Suburban,Single,Corporate Auto,Offer3,Web,Four-Door Car,Large,2,11,6
4876,Arizona,No,Basic,Bachelor,Employed,F,Suburban,Single,Personal Auto,Offer3,Call Center,SUV,Medsize,2,14,7
4877,California,No,Basic,College,Employed,F,Rural,Married,Personal Auto,Offer1,Agent,Four-Door Car,Medsize,1,7,1
4878,Oregon,Yes,Basic,College,Other,F,Suburban,Married,Personal Auto,Offer2,Branch,Two-Door Car,Large,1,24,4
4879,Oregon,No,Basic,College,Employed,F,Suburban,Married,Personal Auto,Offer4,Web,Two-Door Car,Small,1,28,4
4880,Oregon,No,Extended,Master/Doctor,Employed,M,Suburban,Divorced,Personal Auto,Offer2,Web,Four-Door Car,Small,1,18,3
4881,Arizona,No,Premium,Bachelor,Employed,F,Suburban,Single,Personal Auto,Offer1,Agent,Four-Door Car,Medsize,2,14,7
4882,California,No,Extended,College,Employed,M,Suburban,Married,Personal Auto,Offer2,Call Center,SUV,Medsize,2,2,5
4883,Other,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Offer1,Branch,Two-Door Car,Small,2,3,5
4884,Oregon,No,Extended,College,Employed,F,Rural,Married,Personal Auto,Offer3,Call Center,SUV,Medsize,1,28,4
4885,Oregon,Yes,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Offer2,Agent,Four-Door Car,Small,2,28,9
4886,California,No,Basic,Bachelor,Employed,F,Suburban,Married,Personal Auto,Offer1,Call Center,SUV,Small,1,26,4
4887,Arizona,No,Basic,College,Unemployed,F,Rural,Married,Personal Auto,Offer2,Branch,Two-Door Car,Large,2,8,6
4888,Other,No,Premium,High School or Below,Unemployed,M,Suburban,Single,Corporate Auto,Offer1,Agent,Luxury SUV,Medsize,2,22,8
4889,Oregon,Yes,Premium,High School or Below,Employed,F,Suburban,Married,Corporate Auto,Offer2,Web,Four-Door Car,Large,1,21,3
4890,California,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Offer3,Call Center,SUV,Medsize,1,28,4
4891,California,No,Basic,College,Employed,M,Urban,Married,Personal Auto,Offer1,Branch,Four-Door Car,Large,2,18,7
4892,California,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Offer4,Agent,Four-Door Car,Medsize,1,31,5
4893,Other,No,Basic,College,Unemployed,F,Urban,Married,Corporate Auto,Offer2,Call Center,Two-Door Car,Medsize,2,1,5
4894,Other,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Corporate Auto,Offer1,Branch,Four-Door Car,Medsize,1,26,4
4895,Other,No,Extended,College,Employed,F,Urban,Married,Corporate Auto,Offer4,Call Center,Two-Door Car,Large,2,21,8
4896,Other,Yes,Basic,Bachelor,Employed,M,Urban,Married,Personal Auto,Offer2,Agent,Four-Door Car,Medsize,2,19,7
4897,California,No,Basic,College,Employed,F,Rural,Married,Personal Auto,Offer4,Agent,Four-Door Car,Medsize,1,2,52
4898,California,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Offer1,Agent,Luxury Car,Large,1,29,4
4899,California,No,Extended,High School or Below,Unemployed,F,Suburban,Single,Corporate Auto,Offer3,Call Center,Four-Door Car,Medsize,2,26,8
4900,Other,Yes,Extended,Bachelor,Unemployed,F,Suburban,Married,Personal Auto,Offer2,Agent,Four-Door Car,Small,1,19,3
4901,Other,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Offer2,Agent,SUV,Small,2,24,8
4902,Arizona,No,Extended,High School or Below,Unemployed,F,Suburban,Divorced,Personal Auto,Offer4,Branch,Four-Door Car,Small,2,25,8
4903,California,No,Extended,Bachelor,Unemployed,F,Suburban,Single,Corporate Auto,Offer1,Agent,Four-Door Car,Medsize,1,20,3
4904,California,No,Basic,Master/Doctor,Employed,F,Rural,Married,Personal Auto,Offer2,Agent,Four-Door Car,Medsize,1,21,3
4905,Oregon,No,Basic,College,Employed,M,Suburban,Divorced,Personal Auto,Offer2,Call Center,SUV,Medsize,2,6,5
4906,California,No,Premium,College,Employed,F,Urban,Divorced,Personal Auto,Offer1,Branch,SUV,Medsize,2,13,6
4907,Oregon,No,Extended,College,Unemployed,F,Suburban,Married,Corporate Auto,Offer1,Agent,SUV,Small,2,12,6
4908,Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Personal Auto,Offer2,Branch,Four-Door Car,Medsize,2,27,8
4909,Arizona,No,Basic,High School or Below,Employed,M,Suburban,Married,Corporate Auto,Offer3,Branch,Four-Door Car,Medsize,1,26,4
4910,Oregon,Yes,Extended,Bachelor,Unemployed,F,Suburban,Divorced,Personal Auto,Offer1,Call Center,SUV,Medsize,2,27,8
4911,Oregon,No,Extended,College,Employed,M,Suburban,Divorced,Corporate Auto,Offer3,Web,Four-Door Car,Medsize,1,15,2
4912,California,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Offer1,Branch,SUV,Medsize,1,10,2
4913,Other,No,Basic,High School or Below,Employed,M,Suburban,Married,Corporate Auto,Offer1,Agent,Four-Door Car,Small,2,21,8
4914,Oregon,No,Basic,Master/Doctor,Other,M,Rural,Married,Special Auto,Offer4,Agent,Two-Door Car,Medsize,1,16,2
4915,Oregon,No,Premium,College,Employed,F,Suburban,Married,Personal Auto,Offer4,Web,Luxury SUV,Medsize,1,24,4
4916,Other,No,Basic,College,Other,F,Suburban,Divorced,Personal Auto,Offer2,Web,Two-Door Car,Medsize,2,21,8
4917,Other,Yes,Extended,High School or Below,Employed,F,Suburban,Married,Corporate Auto,Offer3,Agent,Four-Door Car,Small,1,5,1
4918,California,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Offer2,Branch,Four-Door Car,Small,1,8,1
4919,Oregon,No,Basic,High School or Below,Unemployed,M,Suburban,Married,Personal Auto,Offer1,Branch,Four-Door Car,Small,1,24,4
4920,Arizona,No,Extended,Bachelor,Unemployed,F,Rural,Married,Personal Auto,Offer1,Branch,Four-Door Car,Medsize,1,8,1
4921,California,No,Basic,Bachelor,Employed,M,Rural,Single,Personal Auto,Offer1,Agent,Two-Door Car,Medsize,1,25,4
4922,Other,Yes,Basic,Bachelor,Other,F,Suburban,Married,Personal Auto,Offer2,Call Center,Four-Door Car,Medsize,1,12,2
4923,California,No,Basic,Bachelor,Other,M,Suburban,Married,Corporate Auto,Offer2,Web,Four-Door Car,Medsize,2,22,8
4924,Other,No,Basic,High School or Below,Employed,M,Urban,Married,Personal Auto,Offer1,Call Center,Four-Door Car,Medsize,1,2,52
4925,California,Yes,Extended,College,Other,F,Suburban,Divorced,Personal Auto,Offer1,Branch,Four-Door Car,Medsize,2,16,7
4926,Oregon,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Offer2,Branch,Two-Door Car,Medsize,2,10,6
4927,Other,No,Basic,Bachelor,Employed,M,Urban,Married,Corporate Auto,Offer4,Agent,Two-Door Car,Medsize,1,29,4
4928,California,No,Basic,College,Employed,F,Urban,Divorced,Personal Auto,Offer1,Agent,Two-Door Car,Medsize,1,17,3
4929,Other,No,Premium,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Offer1,Call Center,Four-Door Car,Medsize,2,6,5
4930,Other,No,Extended,High School or Below,Employed,M,Suburban,Single,Personal Auto,Offer1,Agent,Luxury SUV,Medsize,1,27,4
4931,Oregon,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Offer4,Branch,Four-Door Car,Medsize,1,7,1
4932,California,No,Basic,Master/Doctor,Employed,F,Urban,Married,Personal Auto,Offer4,Branch,Four-Door Car,Medsize,1,2,52
4933,Other,Yes,Extended,High School or Below,Employed,M,Suburban,Married,Personal Auto,Offer2,Call Center,Two-Door Car,Large,1,7,1
4934,Oregon,No,Extended,Master/Doctor,Employed,F,Suburban,Married,Corporate Auto,Offer2,Agent,Four-Door Car,Small,1,4,1
4935,Oregon,Yes,Basic,Master/Doctor,Other,F,Suburban,Divorced,Personal Auto,Offer2,Branch,Two-Door Car,Medsize,1,27,4
4936,Oregon,No,Extended,College,Unemployed,F,Suburban,Single,Corporate Auto,Offer3,Branch,Four-Door Car,Medsize,2,27,8
4937,Arizona,No,Basic,Master/Doctor,Employed,F,Urban,Married,Personal Auto,Offer1,Branch,Sports Car,Medsize,2,24,8
4938,Arizona,No,Extended,College,Employed,F,Rural,Married,Personal Auto,Offer2,Web,Four-Door Car,Small,1,9,1
4939,California,No,Basic,High School or Below,Unemployed,M,Suburban,Married,Corporate Auto,Offer2,Agent,Four-Door Car,Medsize,1,23,3
4940,Other,No,Basic,College,Employed,M,Suburban,Married,Personal Auto,Offer4,Call Center,Four-Door Car,Medsize,1,3,1
4941,Oregon,Yes,Basic,College,Employed,M,Suburban,Married,Personal Auto,Offer2,Call Center,SUV,Medsize,1,11,2
4942,Arizona,No,Extended,College,Employed,F,Suburban,Divorced,Corporate Auto,Offer1,Call Center,Four-Door Car,Small,2,23,8
4943,California,No,Extended,Bachelor,Unemployed,M,Urban,Married,Corporate Auto,Offer1,Branch,SUV,Medsize,1,18,3
4944,California,No,Extended,College,Employed,M,Suburban,Married,Personal Auto,Offer2,Branch,Luxury Car,Medsize,2,17,7
4945,Arizona,No,Extended,High School or Below,Unemployed,M,Suburban,Single,Corporate Auto,Offer1,Branch,Four-Door Car,Medsize,1,15,2
4946,Oregon,No,Extended,Bachelor,Employed,M,Suburban,Married,Personal Auto,Offer4,Branch,Two-Door Car,Medsize,2,23,8
4947,Oregon,No,Basic,High School or Below,Unemployed,M,Suburban,Divorced,Corporate Auto,Offer1,Agent,Four-Door Car,Medsize,2,15,7
4948,California,No,Extended,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Offer2,Call Center,Four-Door Car,Large,1,12,2
4949,Oregon,No,Basic,Bachelor,Employed,M,Rural,Married,Corporate Auto,Offer2,Agent,Two-Door Car,Medsize,1,4,1
4950,Oregon,Yes,Premium,College,Employed,M,Suburban,Married,Personal Auto,Offer1,Branch,Two-Door Car,Medsize,1,1,52
4951,Oregon,No,Basic,Bachelor,Employed,M,Urban,Married,Personal Auto,Offer1,Branch,Two-Door Car,Medsize,2,25,8
4952,California,Yes,Extended,College,Other,F,Suburban,Divorced,Personal Auto,Offer1,Agent,Sports Car,Medsize,2,14,7
4953,Arizona,No,Extended,College,Employed,M,Rural,Single,Corporate Auto,Offer3,Branch,Two-Door Car,Medsize,1,17,3
4954,Arizona,No,Basic,College,Employed,F,Suburban,Married,Personal Auto,Offer3,Web,Two-Door Car,Small,2,9,6
4955,California,No,Extended,High School or Below,Employed,M,Urban,Married,Corporate Auto,Offer2,Branch,Four-Door Car,Medsize,1,31,5
4956,Oregon,No,Basic,College,Employed,M,Suburban,Married,Corporate Auto,Offer4,Branch,Four-Door Car,Medsize,2,22,8
4957,California,No,Basic,High School or Below,Employed,F,Suburban,Married,Personal Auto,Offer2,Branch,Four-Door Car,Medsize,1,11,2
4958,Oregon,No,Basic,College,Unemployed,F,Suburban,Single,Personal Auto,Offer1,Agent,Four-Door Car,Small,2,25,8
4959,Oregon,Yes,Basic,Master/Doctor,Other,F,Suburban,Divorced,Special Auto,Offer1,Agent,Four-Door Car,Small,1,28,4
4960,Oregon,No,Premium,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Offer1,Branch,Two-Door Car,Medsize,1,5,1
4961,Oregon,No,Basic,High School or Below,Employed,M,Suburban,Married,Personal Auto,Offer3,Branch,Two-Door Car,Medsize,1,22,3
4962,Other,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Offer2,Agent,SUV,Large,1,6,1
4963,California,No,Extended,College,Unemployed,F,Suburban,Single,Personal Auto,Offer1,Branch,Two-Door Car,Small,2,5,5
4964,Oregon,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Offer3,Web,Luxury Car,Medsize,2,7,6
4965,Oregon,No,Basic,College,Unemployed,F,Suburban,Married,Personal Auto,Offer1,Branch,Two-Door Car,Medsize,2,24,8
4966,Oregon,No,Basic,High School or Below,Employed,F,Urban,Married,Personal Auto,Offer2,Branch,Four-Door Car,Medsize,1,31,5
4967,California,No,Basic,College,Other,M,Suburban,Married,Special Auto,Offer2,Web,SUV,Medsize,1,13,2
4968,Arizona,No,Extended,High School or Below,Employed,M,Suburban,Married,Personal Auto,Offer2,Branch,Two-Door Car,Medsize,2,23,8
4969,Arizona,No,Basic,College,Employed,F,Urban,Married,Personal Auto,Offer2,Agent,Four-Door Car,Medsize,2,18,7
4970,California,No,Basic,Master/Doctor,Employed,F,Rural,Divorced,Personal Auto,Offer3,Branch,Four-Door Car,Medsize,2,21,8
4971,California,No,Extended,Bachelor,Other,M,Suburban,Married,Special Auto,Offer1,Branch,Sports Car,Small,2,1,5
4972,California,No,Basic,High School or Below,Unemployed,F,Rural,Single,Corporate Auto,Offer2,Agent,SUV,Medsize,1,30,4
4973,California,No,Premium,High School or Below,Employed,F,Suburban,Married,Personal Auto,Offer1,Branch,Two-Door Car,Medsize,2,15,7
4974,California,No,Extended,College,Employed,M,Rural,Single,Corporate Auto,Offer4,Web,Two-Door Car,Large,2,5,5
4975,Other,No,Basic,College,Employed,F,Urban,Married,Corporate Auto,Offer2,Call Center,Two-Door Car,Medsize,2,14,7
4976,California,Yes,Basic,Bachelor,Unemployed,F,Suburban,Single,Corporate Auto,Offer1,Web,Two-Door Car,Medsize,1,30,4
4977,Arizona,No,Extended,College,Employed,M,Suburban,Married,Personal Auto,Offer4,Call Center,Four-Door Car,Medsize,2,22,8
4978,Oregon,No,Basic,High School or Below,Unemployed,M,Suburban,Single,Corporate Auto,Offer4,Web,Two-Door Car,Medsize,2,13,6
4979,Arizona,No,Basic,College,Unemployed,F,Suburban,Single,Personal Auto,Offer4,Call Center,Two-Door Car,Medsize,1,10,2
4980,Oregon,No,Extended,Bachelor,Other,M,Suburban,Married,Personal Auto,Offer3,Call Center,Sports Car,Medsize,2,26,8
4981,Arizona,Yes,Basic,High School or Below,Other,M,Suburban,Married,Personal Auto,Offer3,Web,Four-Door Car,Medsize,1,5,1
4982,Other,No,Extended,Master/Doctor,Other,F,Suburban,Divorced,Personal Auto,Offer1,Agent,Four-Door Car,Medsize,1,6,1
4983,Oregon,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Corporate Auto,Offer1,Branch,Four-Door Car,Small,1,5,1
4984,Other,No,Premium,High School or Below,Employed,F,Rural,Married,Corporate Auto,Offer2,Call Center,Sports Car,Medsize,1,25,4
4985,California,No,Extended,College,Employed,F,Suburban,Married,Corporate Auto,Offer2,Branch,SUV,Medsize,1,9,1
4986,Arizona,No,Extended,College,Employed,F,Suburban,Married,Personal Auto,Offer2,Call Center,SUV,Medsize,2,19,7
4987,Oregon,No,Basic,College,Employed,M,Suburban,Divorced,Personal Auto,Offer4,Call Center,Two-Door Car,Small,2,18,7
4988,Other,No,Basic,High School or Below,Unemployed,M,Suburban,Married,Personal Auto,Offer2,Agent,Two-Door Car,Medsize,1,18,3
4989,Other,No,Extended,Bachelor,Other,F,Suburban,Divorced,Personal Auto,Offer2,Call Center,Four-Door Car,Medsize,2,4,5
4990,Oregon,No,Basic,College,Unemployed,F,Suburban,Married,Personal Auto,Offer1,Branch,SUV,Medsize,2,18,7
4991,Oregon,No,Basic,Bachelor,Employed,M,Suburban,Married,Special Auto,Offer3,Agent,Two-Door Car,Large,1,26,4
4992,Oregon,No,Basic,Master/Doctor,Employed,F,Urban,Married,Personal Auto,Offer1,Branch,Sports Car,Medsize,1,28,4
4993,Oregon,No,Basic,Bachelor,Employed,M,Suburban,Married,Corporate Auto,Offer1,Agent,Two-Door Car,Small,2,6,5
4994,California,No,Basic,High School or Below,Employed,F,Suburban,Married,Personal Auto,Offer1,Branch,Four-Door Car,Medsize,1,8,1
4995,Arizona,No,Basic,Master/Doctor,Employed,M,Rural,Divorced,Personal Auto,Offer2,Agent,Four-Door Car,Large,2,3,5
4996,Other,No,Premium,Bachelor,Other,F,Suburban,Single,Corporate Auto,Offer2,Branch,Four-Door Car,Small,2,8,6
4997,Arizona,No,Basic,College,Employed,F,Suburban,Single,Personal Auto,Offer3,Branch,Four-Door Car,Medsize,2,4,5
4998,Arizona,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Corporate Auto,Offer4,Branch,Four-Door Car,Small,1,30,4
4999,Oregon,No,Basic,High School or Below,Employed,F,Rural,Divorced,Personal Auto,Offer3,Web,Four-Door Car,Medsize,2,20,7
5000,Other,No,Basic,Bachelor,Other,F,Suburban,Married,Personal Auto,Offer1,Branch,Four-Door Car,Medsize,1,25,4
5001,Other,No,Premium,High School or Below,Employed,M,Suburban,Married,Personal Auto,Offer1,Branch,Two-Door Car,Large,1,29,4
5002,Other,No,Basic,Master/Doctor,Employed,F,Suburban,Married,Personal Auto,Offer4,Agent,SUV,Medsize,2,14,7
5003,Arizona,No,Basic,High School or Below,Employed,F,Rural,Married,Corporate Auto,Offer2,Branch,Two-Door Car,Medsize,1,7,1
5004,Oregon,No,Basic,College,Other,F,Suburban,Married,Personal Auto,Offer1,Call Center,Four-Door Car,Medsize,2,16,7
5005,Arizona,No,Extended,High School or Below,Employed,M,Rural,Married,Personal Auto,Offer3,Web,Four-Door Car,Medsize,1,11,2
5006,Arizona,No,Basic,College,Employed,M,Rural,Married,Personal Auto,Offer1,Call Center,SUV,Medsize,2,5,5
5007,Oregon,No,Basic,College,Unemployed,F,Rural,Divorced,Personal Auto,Offer1,Agent,Two-Door Car,Medsize,2,19,7
5008,California,Yes,Extended,College,Unemployed,F,Suburban,Divorced,Personal Auto,Offer2,Agent,Four-Door Car,Medsize,2,19,7
5009,Oregon,No,Basic,College,Employed,M,Rural,Married,Personal Auto,Offer1,Agent,Sports Car,Medsize,2,28,9
5010,California,No,Extended,High School or Below,Unemployed,M,Suburban,Married,Personal Auto,Offer2,Branch,Four-Door Car,Medsize,1,4,1
5011,Oregon,No,Extended,High School or Below,Employed,M,Suburban,Married,Corporate Auto,Offer4,Branch,Four-Door Car,Medsize,1,10,2
5012,Oregon,Yes,Basic,College,Employed,M,Rural,Married,Personal Auto,Offer1,Branch,Four-Door Car,Medsize,1,28,4
5013,Arizona,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Offer1,Agent,Four-Door Car,Medsize,2,22,8
5014,California,No,Basic,High School or Below,Unemployed,F,Suburban,Single,Personal Auto,Offer2,Call Center,Sports Car,Medsize,2,3,5
5015,Oregon,No,Basic,College,Employed,F,Rural,Married,Personal Auto,Offer2,Call Center,Four-Door Car,Medsize,1,1,52
5016,Other,No,Basic,College,Unemployed,F,Suburban,Single,Personal Auto,Offer1,Agent,Four-Door Car,Medsize,1,31,5
5017,Arizona,Yes,Basic,Bachelor,Employed,M,Suburban,Single,Personal Auto,Offer1,Agent,Four-Door Car,Medsize,2,18,7
5018,Other,No,Basic,High School or Below,Employed,M,Urban,Married,Personal Auto,Offer4,Web,Luxury Car,Small,1,24,4
5019,Oregon,No,Basic,College,Employed,F,Suburban,Married,Personal Auto,Offer3,Agent,SUV,Medsize,1,15,2
5020,California,Yes,Basic,High School or Below,Employed,F,Suburban,Married,Personal Auto,Offer2,Agent,Two-Door Car,Large,1,1,52
5021,Oregon,Yes,Basic,College,Other,F,Suburban,Single,Personal Auto,Offer1,Web,Two-Door Car,Medsize,2,1,5
5022,Oregon,No,Extended,College,Employed,F,Suburban,Married,Corporate Auto,Offer3,Agent,Four-Door Car,Medsize,1,23,3
5023,California,No,Extended,Bachelor,Unemployed,F,Suburban,Single,Corporate Auto,Offer2,Agent,Two-Door Car,Small,2,7,6
5024,Other,No,Basic,High School or Below,Unemployed,M,Suburban,Married,Personal Auto,Offer1,Branch,SUV,Large,1,20,3
5025,Oregon,No,Basic,High School or Below,Employed,M,Suburban,Married,Corporate Auto,Offer2,Call Center,SUV,Medsize,2,1,5
5026,Arizona,No,Basic,High School or Below,Employed,M,Urban,Single,Personal Auto,Offer3,Branch,Four-Door Car,Medsize,1,31,5
5027,Arizona,No,Basic,High School or Below,Unemployed,F,Suburban,Married,Personal Auto,Offer3,Agent,SUV,Medsize,1,8,1
5028,California,No,Premium,High School or Below,Unemployed,F,Suburban,Single,Special Auto,Offer1,Agent,Sports Car,Medsize,1,29,4
5029,California,No,Extended,College,Other,F,Suburban,Married,Personal Auto,Offer2,Agent,Four-Door Car,Small,1,4,1
5030,Oregon,No,Basic,Bachelor,Unemployed,M,Suburban,Single,Personal Auto,Offer3,Web,Four-Door Car,Medsize,1,11,2
5031,Oregon,No,Extended,High School or Below,Employed,F,Urban,Married,Personal Auto,Offer4,Call Center,SUV,Small,1,30,4
5032,Other,No,Extended,High School or Below,Employed,M,Rural,Divorced,Personal Auto,Offer1,Call Center,Four-Door Car,Medsize,2,14,7
5033,Arizona,No,Extended,College,Unemployed,F,Suburban,Married,Personal Auto,Offer4,Call Center,Four-Door Car,Medsize,2,24,8
5034,California,No,Basic,Bachelor,Employed,M,Rural,Married,Personal Auto,Offer2,Web,Four-Door Car,Medsize,2,15,7
5035,California,No,Basic,Bachelor,Unemployed,M,Rural,Married,Personal Auto,Offer1,Agent,SUV,Medsize,1,13,2
5036,Oregon,No,Basic,High School or Below,Employed,M,Rural,Single,Personal Auto,Offer2,Branch,SUV,Large,1,17,3
5037,Oregon,No,Premium,High School or Below,Employed,F,Suburban,Married,Special Auto,Offer4,Web,SUV,Medsize,2,8,6
5038,Arizona,No,Basic,Bachelor,Employed,M,Suburban,Divorced,Personal Auto,Offer2,Branch,Four-Door Car,Medsize,1,31,5
5039,California,Yes,Extended,Master/Doctor,Employed,F,Rural,Married,Personal Auto,Offer1,Branch,Four-Door Car,Large,1,10,2
5040,Oregon,No,Basic,College,Employed,M,Rural,Married,Personal Auto,Offer3,Branch,Two-Door Car,Medsize,1,17,3
5041,California,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Offer1,Agent,Four-Door Car,Small,1,24,4
5042,California,No,Basic,High School or Below,Employed,F,Urban,Married,Personal Auto,Offer3,Agent,Two-Door Car,Medsize,2,18,7
5043,California,No,Basic,College,Employed,M,Suburban,Single,Corporate Auto,Offer4,Branch,Luxury Car,Medsize,1,23,3
5044,Oregon,No,Extended,College,Employed,F,Suburban,Married,Personal Auto,Offer1,Agent,Sports Car,Medsize,2,15,7
5045,Arizona,No,Basic,College,Unemployed,M,Rural,Divorced,Personal Auto,Offer4,Branch,Four-Door Car,Medsize,2,12,6
5046,California,No,Basic,High School or Below,Employed,F,Urban,Married,Personal Auto,Offer4,Agent,Two-Door Car,Medsize,2,22,8
5047,California,Yes,Extended,High School or Below,Employed,F,Suburban,Divorced,Personal Auto,Offer2,Agent,Four-Door Car,Medsize,2,7,6
5048,Other,No,Basic,College,Unemployed,M,Suburban,Married,Personal Auto,Offer4,Branch,Four-Door Car,Medsize,2,24,8
5049,California,Yes,Extended,High School or Below,Employed,M,Suburban,Married,Personal Auto,Offer2,Call Center,Two-Door Car,Large,1,7,1
5050,Oregon,No,Basic,College,Employed,M,Rural,Married,Personal Auto,Offer1,Branch,Four-Door Car,Medsize,1,17,3
5051,Oregon,No,Extended,Master/Doctor,Employed,F,Rural,Married,Personal Auto,Offer4,Call Center,Four-Door Car,Small,2,26,8
5052,Other,Yes,Basic,High School or Below,Employed,M,Suburban,Single,Personal Auto,Offer2,Call Center,Four-Door Car,Medsize,2,26,8
5053,Oregon,No,Extended,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Offer1,Call Center,Two-Door Car,Medsize,2,27,8
5054,Other,No,Basic,College,Employed,F,Suburban,Divorced,Corporate Auto,Offer4,Call Center,Four-Door Car,Small,2,11,6
5055,Other,No,Basic,College,Unemployed,F,Suburban,Single,Personal Auto,Offer1,Call Center,Four-Door Car,Small,2,24,8
5056,California,No,Extended,Bachelor,Other,M,Suburban,Divorced,Personal Auto,Offer3,Agent,Four-Door Car,Medsize,2,20,7
5057,California,No,Premium,High School or Below,Unemployed,M,Suburban,Single,Personal Auto,Offer2,Agent,Four-Door Car,Medsize,1,1,52
5058,Oregon,Yes,Basic,College,Employed,F,Suburban,Married,Personal Auto,Offer1,Agent,Four-Door Car,Medsize,2,24,8
5059,Other,No,Basic,Bachelor,Employed,M,Rural,Married,Corporate Auto,Offer4,Agent,SUV,Medsize,1,16,2
5060,California,No,Extended,Bachelor,Employed,F,Suburban,Married,Special Auto,Offer3,Agent,SUV,Medsize,2,6,5
5061,Arizona,No,Basic,Bachelor,Employed,M,Suburban,Single,Corporate Auto,Offer1,Call Center,Two-Door Car,Small,1,25,4
5062,California,No,Basic,College,Employed,M,Urban,Married,Corporate Auto,Offer4,Web,Luxury Car,Medsize,1,24,4
5063,Oregon,No,Premium,Bachelor,Unemployed,F,Suburban,Single,Personal Auto,Offer1,Agent,Sports Car,Medsize,2,19,7
5064,Arizona,No,Extended,College,Unemployed,F,Suburban,Single,Personal Auto,Offer3,Branch,Two-Door Car,Medsize,2,15,7
5065,Arizona,No,Extended,Bachelor,Unemployed,M,Rural,Married,Personal Auto,Offer1,Agent,Four-Door Car,Medsize,1,20,3
5066,Arizona,No,Basic,High School or Below,Other,M,Suburban,Married,Personal Auto,Offer2,Call Center,Four-Door Car,Small,1,4,1
5067,Oregon,No,Basic,Bachelor,Employed,F,Suburban,Married,Personal Auto,Offer2,Agent,Two-Door Car,Medsize,1,27,4
